author,year,title,abstract,url_or_doi,entry_type
"GOLDSTEIN, Brett and DYSON, Lauren",2013.0,Beyond Transparency - Open Data and Future of Civic Innovation,"In 2005, I was working at TriMet, the public transit agency in Port- land, Oregon, as an IT manager for Geographic Information Services. Earlier that year, while traveling, I found it very frustrating to try and find transit directions in the unfamiliar cities I was visiting. This was especially true when transportation agencies that provided differing services or areas were not consolidated. It was much easier at that time to get driving directions from popular online mapping services, and I realized this was probably encouraging car usage over public transit. In my role at TriMet, I worked with transit data every day, so I knew such data was available and the potential was there. We offered our own online transit trip planning tool, as many agencies do. The trouble was, the average citizen often didn't know where to go to find this in- formation, especially if he or she was unfamiliar with the local transit system. The general public was used to going to certain online desti- nations for driving directions—Google Maps, MapQuest, and Yahoo were all widely used at the time—but the data they needed to plan a trip using public transit wasn't available where they were looking. Bringing",,book
"Foxcroft, Llewellyn C. and van Wilgen, Brian W. and Abrahams, Brent and Esler, Karen J. and Wannenburgh, Andrew",2020.0,Biological Invasions in South Africa,"Increasing resources are being allocated both to the management and research of biological invasions in South Africa. However, as with many natural resource management and conservation programmes globally, the question remains as to what extent the science provides the necessary answers for management, and whether it influences decision-making. This frequently presents as a gap between knowledge generation and application of research outcomes (‘knowing-doing gap'). The ideal scenario, a two-way transfer of knowledge along a continuum between science and management (‘knowing-doing continuum'), would allow for dialogue between all role-players that will not only transfer research results in support of management, but communicate management needs to scientists. This chapter explores how well this continuum has operated in South Africa with regard to biological invasions. Professionals employed in different positions along a continuum of basic or applied research to technology transfer and implementation are currently assessed with different performance measures. This drives different behaviours, which in turn can impede smooth integration. To counteract this, different types of communication structures have been developed, although many have not persisted. The most successful and enduring appear to be voluntary forums or conference series where researchers and managers are regularly exposed to each other's challenges. Scientists who are embedded within management agencies (for example, Scientific Services units within national parks and provincial conservation agencies) appear to be well-placed to bridge the gaps that exist, but mechanisms to evolve into a true knowing-doing continuum still need to be sought for the South African context. To be more relevant, researchers need to draw on the experience of managers, better understand the context within which managers operate, and by which they are constrained, while policy-makers may have to become more willing to adapt approaches when research suggests that such changes would be warranted if certain goals are to be achieved.",https://doi.org/10.1007/978-3-030-32394-3_28,incollection
"Szreter, Simon",2004.0,British Medical Bulletin,"Throughout history and prehistory trade and economic growth have always entailed serious population health challenges. The post-war orthodoxies of demographic and epidemiological transition theory and the Washington consensus have each encouraged the view that industrialization necessarily changes all this and that modern forms of rapid economic growth will reliably deliver enhanced population health. A more careful review of the historical demographic and anthropometric evidence demonstrates that this is empirically false, and a fallacious oversimplification. All documented developed nations endured the 'four Ds' of disruption, deprivation, disease and death during their historic industrializations. The well-documented British historical case is reviewed in detail to examine the principal factors involved. This shows that political and ideological divisions and conflict-and their subsequent resolution in favour of the health interests of the working-class majorities-were key factors in determining whether industrialization exerted a positive or negative net effect on population health.",https://doi.org/10.1093/bmb/ldh005,misc
"Kpeli, Grace Semabia and Yeboah-Manu, Dorothy",2019.0,Buruli Ulcer: Mycobacterium Ulcerans Disease,"Background: Schistosomiasis is a neglected tropical disease caused by mainly Schistosoma mansoni and Schistosoma hematobium. The disease is very common in Africa including Ethiopia. Schistosoma mansoni is a major public health problem in Ethiopia especially among children. This review is aimed to indicate the prevalence of Schistosoma mansoni among children at the national and regional levels. Methods and material: The PRISMA guidelines were followed. An electronic search of PubMed, Google Scholar, Web of Science, Scopus, MEDLINE, and Google search were carried out using key terms. Articles published from the proceeding of professional associations such as the Ethiopian medical laboratory association, the Ethiopian public health association, and annual national research conferences were also searched to find additional eligible studies. Data were extracted independently by two investigators, and cross-checked by a third reviewer. The quality of included studies was assessed using JBI quality assessment criteria. Data were extracted using Microsoft excel and finally analyzed using STATA version 12. The pooled prevalence was done using a random-effects model. Result: Overall 49 studies involving 20,493 children (10,572 male and 9, 921 females) were included in this meta-analysis. The pooled prevalence of Schistosoma mansoni infection was 37.13% (95%CI:30.02–44.24). High heterogeneity was observed with I2 of 99.4%, P < 0.000. According to subgroup analysis, the pooled prevalence was high in the SNNPR (41.49%: 95%CI: 19.52–63.46) followed by the Amhara region (41.11%: 95%CI: 30.41–51.8), the Tigray region (31.40%: 95%CI:11.72–51.09), and the Oromia region (28.98%: 95%CI: 18.85–39.1). Year from 2011 to 2015 contributed to the highest prevalence of Schistosoma mansoni infection among children (46.31%: 95%:34.21–59.05). Conclusion: This study revealed a 37.13% prevalence of Schistosoma mansoni infection among children. This is an alert to improve and implement appropriate control strategies such as mass drug administration in Ethiopia.",https://doi.org/10.1007/978-3-030-11114-4_13,incollection
"Kaufman, Alexander.",2005.0,Capabilities Equality: Basic Issues and Problems,"The capabilities approach to equality, developed by Amartyr Sen and Martha Nussbaum, seeks to answer the question: what is a proper measure of a person's condition for the purposes of determining what we owe each other, as a matter of justice? While the capabilities theory has avoided many of the conceptual difficulties that have undermined competing accounts of egalitarian justice, recent criticisms have raised questions regarding the focus, structure and justification of the theory. In this volume, leading scholars present new and original essays that address these controversies.",https://doi.org/10.4324/9780203799444,book
"Bouteligier, Sofie",2012.0,"Cities Networks and Global Environmental Governance: Spaces of Innovation, Places of Leadership","Through analysis of transnational municipal networks, such as Metropolis and the C40 Cities Climate Leadership Group, Sofie Bouteligier's innovative study examines theories of the network society and global cities from a global ecology perspective. Through direct observation and interviews and using two types of city networks that have been treated separately in the literature, she discovers the structure and logic pertaining to office networks of environmental non-governmental organizations and environmental consultancy firms. In doing so she incisively demonstrates the ways in which cities fulfill the role of strategic sites of global environmental governance, concentrating knowledge, infrastructure, and institutions vital to the function of transnational actors. As a result of global dynamics-the increasing interconnection of people and places-innovations in global environmental governance haved altered the role of cities in shaping the future of the planet. This book is a timely study of the importance of these social transformations in our increasingly global and increasingly urban world.",https://doi.org/10.4324/9780203106488,book
"McLeman, Robert A.",2013.0,Climate and Human Migration,,https://doi.org/10.1017/cbo9781139136938.003,incollection
"Sen, Amartya",1979.0,Contemporary Political Theory: A Reader,"AMARTYA SEN is Drummond Professor of Political Econ-omy at Oxford University. He is also Fellow of All Souls College, and Andrew D. White Professor at Large at Cornell University. Professor Sen was born in India and studied at Calcutta and at Cambridge. He has taught at Calcutta, Cambridge, Delhi, and London, and also at Berkeley, Harvard, M.I.T., and Stanford. His books in-clude Choice of Techniques, Collective Choice and Social Welfare, On Economic Inequality, and Employment, Technology and Development. His Poverty and Famines is in press, while another book, Welfare and Rights, is nearing completion. He has published articles in eco-nomics, philosophy, political science, decision theory, and history.",,unpublished
"Branny, Artur and M{\o",2022.0,Current Opinion in Environmental Sustainability,"Smart city development is expanding rapidly globally and is often argued to improve urban sustainability. However, these smart developments are often technology-centred approaches that can miss critical interactions between social and ecological components of urban systems, limiting their real impact. We draw on the social-ecological-technological systems (SETS) literature and framing to expand and improve the impact of smart city agendas. A more holistic systems framing can ensure that ‘smart' solutions better address sustainability broadly and extend to issues of equity, power, agency, nature-based solutions and ecological resilience. In this context, smart city infrastructure plays an important role in enabling new ways of measuring, experiencing and engaging with local and temporal dynamics of urban systems. We provide a series of examples of subsystems interactions, or ‘couplings', to illustrate how a SETS approach can expand and enhance smart city infrastructure and development to meet normative societal goals.",https://doi.org/10.1016/j.cosust.2022.101168,misc
"Martin, Alicia R. and Teferra, Solomon and M{\""{o",2018.0,Current Opinion in Genetics and Development,"Human genetic studies have long been vastly Eurocentric, raising a key question about the generalizability of these study findings to other populations. Because humans originated in Africa, these populations retain more genetic diversity, and yet individuals of African descent have been tremendously underrepresented in genetic studies. The diversity in Africa affords ample opportunities to improve fine-mapping resolution for associated loci, discover novel genetic associations with phenotypes, build more generalizable genetic risk prediction models, and better understand the genetic architecture of complex traits and diseases subject to varying environmental pressures. Thus, it is both ethically and scientifically imperative that geneticists globally surmount challenges that have limited progress in African genetic studies to date. Additionally, African investigators need to be meaningfully included, as greater inclusivity and enhanced research capacity afford enormous opportunities to accelerate genomic discoveries that translate more effectively to all populations. We review the advantages, challenges, and examples of genetic architecture studies of complex traits and diseases in Africa. For example, with greater genetic diversity comes greater ancestral heterogeneity; this higher level of understudied diversity can yield novel genetic findings, but some methods that assume homogeneous population structure and work well in European populations may work less well in the presence of greater heterogeneity in African populations. Consequently, we advocate for methodological development that will accelerate studies important for all populations, especially those currently underrepresented in genetics.",https://doi.org/10.1016/j.gde.2018.08.005,misc
"Weidmann, Nils B.",2023.0,Data Management for Social Scientists,Brief introduction to the concept of a relational database,https://doi.org/10.1017/9781108990424.012,incollection
"Evans, Olaniyi",2018.0,"Digital Policy, Regulation and Governance ","Purpose: The increased adoption of internet-enabled phones in Africa has caused much speculation and optimism concerning its effects on financial inclusion. Policymakers, the media and various studies have all flaunted the potentials of internet and mobile phones for financial inclusion. An important question therefore is “Can the internet and mobile phones spur the inclusion of the financially excluded poor? This study therefore aims to examine the relationship and causality between internet, mobile phones and financial inclusion in Africa for the 2000-2016 period. Design/methodology/approach: The empirical analysis followed these three steps: examination of the stationarity of the variables; testing for the cointegration; and evaluation of the effects of the internet and mobile phones on financial inclusion in Africa for the 2000-2016 period using three outcomes of panel FMOLS approach and Granger causality tests. Findings: The empirical evidence shows that internet and mobile phones have significant positive relationship with financial inclusion, meaning that rising levels of internet and mobile phones are associated with increased financial inclusion. There is also uni-directional causality from internet and mobile phones to financial inclusion, implying that internet and mobile phones cause financial inclusion. The study also shows that macroeconomic factors such as capital formation, primary enrollment, bank credit, broad money, population growth, remittances, agriculture and interest rate, as well as institutional factors such as regulatory quality are important underlying factors for financial inclusion in Africa. Originality/value: In the literature, there is a dearth of research on the internet, mobile phones and financial inclusion, especially in Africa. Most of the related studies are conceptual and micro-based, with little empirical attention to the relationship and causality between internet, mobile phones and financial inclusion. In fact, this dearth of rigorous empirical studies has been attributed as the main cause of inadequate policy guidance in enhancing information communication technologies (Roycroft and Anantho, 2003), despite saturation levels in developed economies. This study fills the gap by evaluating the effects of the Internet and mobile phones on financial inclusion for 44 African countries for the 2000-2016 period.",https://doi.org/10.1108/DPRG-04-2018-0018,misc
{da Silva Tomadon,2024.0,Discover Sustainability,"This study delves into the pivotal role that indicators play in designing, assessing, and guiding policies for sustainable urban development. Indicators, encompassing both quantitative and qualitative measures, serve as essential tools in evaluating efforts toward sustainable development, providing a practical and objective means of understanding the complex urban environment. The lack of a robust database is identified as a hindrance to monitoring sustainable development progress, underscoring the importance of comprehensive indicators. The study employs a bibliometric literature review methodology, focusing on smart city and sustainability indicators (SSCI) from 2015 to 2022. A total of 818 articles were narrowed down to 191 through rigorous criteria. The study showcases a growing interest in this field, with the number of articles published experiencing a remarkable 288% increase from 2015 to 2022. China emerges as a focal point, leading in both article production and citations, emphasizing its commitment to sustainable development and smart city initiatives. The keywords ""sustainable development"", ""sustainability"" and “urban development” had the most occurrences in text analysis. We found three different clusters with k-means analysis, and the circular economy indicators were the most representative category. In conclusion, the study underscores the holistic vision of SSCI in the current scenario, balancing technology and sustainability to improve urban quality of life while safeguarding the planet. Encouraging further research into integrating resilience-focused indicators and innovative solutions is crucial for enhancing sustainable urban development and informing policy decisions.",https://doi.org/10.1007/s43621-024-00328-w,misc
"Sadiku, Matthew N.O. and Alam, Shumon and Musa, Sarhan M.",2020.0,EAI/Springer Innovations in Communication and Computing,Internet of things (IoT) is the global interconnection of several heterogeneous devices. It allows people and “things” to connect anytime and anywhere using a variety of wired or wireless communication networks. It will have its presence in all sectors of human lives including healthcare. The market for the IoT in healthcare is growing steadily. IoT in healthcare helps in effectively managing health and thus improving the quality of life. This chapter provides a brief introduction into IoT in healthcare or the use of IoT in the healthcare domain. It begins by presenting an overview on both IoT and healthcare. It discusses Internet of medical things. It covers various applications of IoT in healthcare. It addresses some benefits and challenges of IoT in healthcare.,https://doi.org/10.1007/978-3-030-42934-8_3,incollection
{Chris Fabian,2003.0,EMBO reports,Summary: Should innovative surgery be exempt from clinical trials and regulations?,https://doi.org/10.1155/2022/2225723,misc
"Akir, Ziad",2003.0,Education and Technology: An Encyclopedia,"When the World Health Organization launched a worldwide campaign to eradicate smallpox, it was engaged in diffusion. When Apple launched iPod, it was diffusing a new product. When Bob Dylan wrote “The Times They Are A-Changin',” he was describing diffusion (Dearing & Meyer, 2006). When professional dancers-both standing up and sitting down (in wheelchairs)—perform on stage, as do the artistes of the Dancing Wheels dance company in Cleveland, they are diffusing a new image of what constitutes (dis)ability.1",https://doi.org/10.4337/9781800883284.diffusion.of.innovations,incollection
"Nastjuk, Ilja and Trang, Simon and Papageorgiou, Elpiniki I.",2022.0,Electronic Markets,,https://doi.org/10.1007/s12525-022-00609-0,misc
"Braunack-Mayer, A. J. and Street, J. M. and Palmer, N.",2012.0,"Encyclopedia of Applied Ethics: Volume 1-4, Second Edition","This article explores the domain of ethical analysis of technologies. It begins with a brief account of the term ‘technology,' followed by a summary of the ways in which ‘ethics' is interpreted as it relates to new technologies. It then discusses two key themes in the ethics technology – risk and responsibility – before concluding with a discussion of one particularly challenging set of technological developments that raises ethical issues that cut across many areas of human endeavor.",https://doi.org/10.1016/B978-0-12-373932-2.00027-2,incollection
"{Van DInh}, Dzung and Yoon, Byeong Nam and Le, Hung Ngoc and Nguyen, Uy Quoc and {Dang Phan}, Khoa and {DInh Pham}, Lam",2009.0,Encyclopedia of Database Systems,https://www.programiz.com/dsa/graph,https://doi.org/10.1007/978-0-387-39940-9_2702,incollection
"Yigitcanlar, Tan and Desouza, Kevin C. and Butler, Luke and Roozkhosh, Farnoosh",2020.0,Energies,"Artificial intelligence (AI) is one of the most disruptive technologies of our time. Interest in the use of AI for urban innovation continues to grow. Particularly, the rise of smart cities—urban locations that are enabled by community, technology, and policy to deliver productivity, innovation, livability, wellbeing, sustainability, accessibility, good governance, and good planning—has increased the demand for AI-enabled innovations. There is, nevertheless, no scholarly work that provides a comprehensive review on the topic. This paper generates insights into how AI can contribute to the development of smarter cities. A systematic review of the literature is selected as the methodologic approach. Results are categorized under the main smart city development dimensions, i.e., economy, society, environment, and governance. The findings of the systematic review containing 93 articles disclose that: (a) AI in the context of smart cities is an emerging field of research and practice. (b) The central focus of the literature is on AI technologies, algorithms, and their current and prospective applications. (c) AI applications in the context of smart cities mainly concentrate on business efficiency, data analytics, education, energy, environmental sustainability, health, land use, security, transport, and urban management areas. (d) There is limited scholarly research investigating the risks of wider AI utilization. (e) Upcoming disruptions of AI in cities and societies have not been adequately examined. Current and potential contributions of AI to the development of smarter cities are outlined in this paper to inform scholars of prospective areas for further research.",https://doi.org/10.3390/en13061473,misc
Ch{\'{e,2018.0,"Energy Harvesting for Wireless Sensor Networks: Technology, Components and System Design","The wireless sensor network (WSN) sets a very real benchmark for the Internet of Things (IoT) by utilizing the latest technology to optimize communication and safety systems in hazardous environments. Indeed, WSN is the key technology for IoT. Thanks to the advantages offered by these technologies, in particular, collecting data in real time at low cost, WSNs are gaining popularity in a multitude of fields of application.However, the energy challenge remains persistent, asWSNs suffer from energy scarcity. In this paper, we present an energy-saving design forWSNmonitoring systems known as HEEPS (hybrid energy-efficient power manager scheduling). DVFS (dynamic voltage and frequency scaling) and DPM (dynamic power management) are jointly leveraged to reduce the total energy consumption, as well as a scheduling policy that exploits effectively the resources at the global level. The experiments were conducted with real network traces and hardware models.",https://doi.org/10.1515/9783110445053-015,incollection
"Yelland, Nicola",2013.0,Engaging the Disengaged: Inclusive approaches to teaching the least advantaged,"Learning objectives To recognise the characteristics of millennial kids. To understand the contemporary nature of a digital divide. To make connections between the digital divide and social inclusion. To think about curriculums and pedagogical reforms that flow from the use of new technologies that support digital and social inclusion for families from low socioeconomic areas. Introduction When the digital divide was first conceptualised (Gore 1998) it focused on the ‘haves' and ‘have nots' with regard to having access to computer technology or not. While access remains a contentious issue it is readily apparent that the focus eventually shifted to the quality of access to the internet via dial-up or broadband. This was because those who had access via dial-up had their actions considerably restricted by the poorer quality of the connection while those on broadband had a broader range of possibilities available to them, resulting in a new divide. Today, while access is not universal, it needs to be considered in terms of the quality of the activities that being connected to the internet via a computer, or any device, affords as well as the expectations that teachers have of their students in these new learning contexts. In contemporary times digital engagement and social inclusion are important issues of concern in globalised contexts. This chapter argues that discussions of equity and social inclusion need to consider qualitatively different types of use of new technologies. It asserts that pedagogies concerned with socially disadvantaged students need to recognise that there are qualitatively different types of activities that can be conducted with new media and support students to become fluent in all of them and not just those that fulfil the criteria for access. This means taking a new approach and creating contexts for teaching and learning that value the life experiences of students and support them to encounter, and have success with, higher levels of sophisticated activities that are respectful of their needs and interests.",https://doi.org/10.1017/CBO9781107300910.004,incollection
"Winnie, Doug",2021.0,Essential Java for AP CompSci,,https://doi.org/10.1007/978-1-4842-6183-5_41,incollection
