Author,Year,Title,Abstract,Combined(Title+Abstract),Target
"Capdevila, Ignasi and Zarlenga, Mat{\'{i",2015,{Smart city or smart citizens? The Barcelona case,"Purpose – In recent years, the term “smart city” has attracted a lot of attention from policy makers, business leaders and citizenship in general. Although there is not a unique definition of what a smart city is, it is generally accepted that “smart” urban policies refer to local governments' initiatives that use information and communication technologies in order to increase the quality of life of their inhabitants while contributing to a sustainable development. So far, “smart city” approaches have generally been related to top-down processes of technology diffusion. The purpose of this paper is to present a broader view on “smart” initiatives to analyze both top-down and bottom-up dynamics in a smart city. The authors argue that these two perspectives are complementary and its combination can reinforce the collaboration between different city stakeholders. Top-down and bottom-up initiatives are not opposed forces but, on the contrary, can have a synergistic effect on the innovation capacity of the city. Both perspectives are illustrated by providing examples of different “smart” aspects in the city of Barcelona: smart districts, open collaborative spaces, infrastructures and open data. Design/methodology/approach – To illustrate the arguments, the authors analyze the case of the city of Barcelona providing examples of top-down and bottom-up initiatives in four different smart city aspects: smart districts, open collaborative spaces, infrastructures and open data. The research method is based on a case study (Yin, 1984). The primary data consisted on interviews to city council representatives as well as managers of local public institutions, like economic development offices, and local organizations like for instance coworking spaces. The authors interviewed also specialists on the innovation history of the city in order to validate the data. In addition, the authors used secondary data such as reports on the 22@, and documentation on the Barcelona innovation policies, as well as doing a compilation of press articles and the online content of the institutional webpages. All together, the authors have followed a data triangulation strategy to seek data validation based on the cross-verification of the analyzed data sources. Findings – The analysis suggests that the top-down and bottom-up perspectives are complementary and their combination can reinforce the collaboration between different city stakeholders. Top-down and bottom-up initiatives are not opposed forces but, on the contrary, can have a synergistic effect on the innovation capacity of the city. Both perspectives are illustrated by providing examples of different “smart” aspects in the city of Barcelona: smart districts, open collaborative spaces, infrastructures and open data. Research limitations/implications – Nevertheless, the analysis has its limitations. Even if the authors have emphasized the importance of the bottom-up initiatives, citizens do not have often the resources to act without governmental intervention. This is the case of services that require high-cost infrastructures or regulatory changes. Also, as it usually happens in the case of disruptive technology, it is hard for citizens to understand the possibilities of its use. In these cases, firms and institutions must play an important role in the first phases of the diffusion of innovations, by informing and incentivizing its use. It is also important to note that some of the emerging usages of technology are confronted to legal or regulatory issues. For instance, distributed and shared Wi-Fi networks might be in opposition to economic interests of internet providers, that often difficult its expansion. It is also the case of services of the sharing economy that represent a menace to established institutions (like the tensions between Uber and taxi companies, or Airbnb and hotels). In these cases, city halls like it is the case in Barcelona, tend to respond to these emergent uses of technology by regulating to ensure protection to existing corporate services. Practical implications – In conclusion, the transformational process that leads a city to become a smart city has to take in consideration the complexity and the plurality of the urban reality. Beyond considering citizens as being users, testers or consumers of technology, local administrations that are able to identify, nourish and integrate the emerging citizens' initiatives would contribute to the reinforcement of a smart city reality. Originality/value – The contribution of the paper is to go beyond the generalized technologic discourse around smart cities by adding the layer of the citizens' initiatives.","{Smart city or smart citizens? The Barcelona casePurpose – In recent years, the term “smart city” has attracted a lot of attention from policy makers, business leaders and citizenship in general. Although there is not a unique definition of what a smart city is, it is generally accepted that “smart” urban policies refer to local governments' initiatives that use information and communication technologies in order to increase the quality of life of their inhabitants while contributing to a sustainable development. So far, “smart city” approaches have generally been related to top-down processes of technology diffusion. The purpose of this paper is to present a broader view on “smart” initiatives to analyze both top-down and bottom-up dynamics in a smart city. The authors argue that these two perspectives are complementary and its combination can reinforce the collaboration between different city stakeholders. Top-down and bottom-up initiatives are not opposed forces but, on the contrary, can have a synergistic effect on the innovation capacity of the city. Both perspectives are illustrated by providing examples of different “smart” aspects in the city of Barcelona: smart districts, open collaborative spaces, infrastructures and open data. Design/methodology/approach – To illustrate the arguments, the authors analyze the case of the city of Barcelona providing examples of top-down and bottom-up initiatives in four different smart city aspects: smart districts, open collaborative spaces, infrastructures and open data. The research method is based on a case study (Yin, ). The primary data consisted on interviews to city council representatives as well as managers of local public institutions, like economic development offices, and local organizations like for instance coworking spaces. The authors interviewed also specialists on the innovation history of the city in order to validate the data. In addition, the authors used secondary data such as reports on the @, and documentation on the Barcelona innovation policies, as well as doing a compilation of press articles and the online content of the institutional webpages. All together, the authors have followed a data triangulation strategy to seek data validation based on the cross-verification of the analyzed data sources. Findings – The analysis suggests that the top-down and bottom-up perspectives are complementary and their combination can reinforce the collaboration between different city stakeholders. Top-down and bottom-up initiatives are not opposed forces but, on the contrary, can have a synergistic effect on the innovation capacity of the city. Both perspectives are illustrated by providing examples of different “smart” aspects in the city of Barcelona: smart districts, open collaborative spaces, infrastructures and open data. Research limitations/implications – Nevertheless, the analysis has its limitations. Even if the authors have emphasized the importance of the bottom-up initiatives, citizens do not have often the resources to act without governmental intervention. This is the case of services that require high-cost infrastructures or regulatory changes. Also, as it usually happens in the case of disruptive technology, it is hard for citizens to understand the possibilities of its use. In these cases, firms and institutions must play an important role in the first phases of the diffusion of innovations, by informing and incentivizing its use. It is also important to note that some of the emerging usages of technology are confronted to legal or regulatory issues. For instance, distributed and shared Wi-Fi networks might be in opposition to economic interests of internet providers, that often difficult its expansion. It is also the case of services of the sharing economy that represent a menace to established institutions (like the tensions between Uber and taxi companies, or Airbnb and hotels). In these cases, city halls like it is the case in Barcelona, tend to respond to these emergent uses of technology by regulating to ensure protection to existing corporate services. Practical implications – In conclusion, the transformational process that leads a city to become a smart city has to take in consideration the complexity and the plurality of the urban reality. Beyond considering citizens as being users, testers or consumers of technology, local administrations that are able to identify, nourish and integrate the emerging citizens' initiatives would contribute to the reinforcement of a smart city reality. Originality/value – The contribution of the paper is to go beyond the generalized technologic discourse around smart cities by adding the layer of the citizens' initiatives.",1
"Manfreda, Anton and Ljubi, Klara and Groznik, Ale{\v{s",2021,{Autonomous vehicles in the smart city era: An empirical study of adoption factors important for millennials,"Smart cities are developing at increasing speed. Smart cities rely on the deployment of information and communication technology (ICT) that is digitally transforming our habitats. Digital transformation affects several areas from transportation, energy, government to the environment. But, primarily, it affects citizens. Therefore, the adoption of all areas of the smart city holds great research potential. The purpose of this paper is thus to provide an insight into millennials' adoption of autonomous vehicles (AV), which are at the forefront of future transport. Millennials are an important focus group for smart city concepts since they are keen to adopt technology and new transport modes. Our research focuses on technology adoption, perception of the benefits, security, safety, mobility-related efficiencies and concerns as the key AV adoption factors. The impact of these factors is empirically tested with structural equation modelling using data from 382 millennials. We confirm the perceived benefits of AV are vital factors for AV adoption whereas the perceived safety of AV significantly reduces the influence of various concerns regarding AV.","{Autonomous vehicles in the smart city era: An empirical study of adoption factors important for millennialsSmart cities are developing at increasing speed. Smart cities rely on the deployment of information and communication technology (ICT) that is digitally transforming our habitats. Digital transformation affects several areas from transportation, energy, government to the environment. But, primarily, it affects citizens. Therefore, the adoption of all areas of the smart city holds great research potential. The purpose of this paper is thus to provide an insight into millennials' adoption of autonomous vehicles (AV), which are at the forefront of future transport. Millennials are an important focus group for smart city concepts since they are keen to adopt technology and new transport modes. Our research focuses on technology adoption, perception of the benefits, security, safety, mobility-related efficiencies and concerns as the key AV adoption factors. The impact of these factors is empirically tested with structural equation modelling using data from  millennials. We confirm the perceived benefits of AV are vital factors for AV adoption whereas the perceived safety of AV significantly reduces the influence of various concerns regarding AV.",1
"Balbo, Tommaso and Vinadio, Di and {Van Noordt",2022,{ARTIFICIAL INTELLIGENCE AND DIGITAL TRANSFORMATION,"Digital transformations are continuously changing how people live, work and function in their societies. These applications of technology can be noticed in education, transs portation, data storage, communications and healthcare, among other fields. The devell opment and use of digital technologies is also impacting how governments operate and function. Digital transformation, including artificial intelligence (AI) adoption, has become one of the highest priorities for public organisations. For instance, governments are increasingly trying to digitize their services through technology because of growing public expectations. But today, some governments are asked to do more: to create an enabling environment in which green, inclusive, equitable digital transformation strengthens democratic societies and economies. Several studies have indeed revealed critical digital competencies gaps in the public sector, including in the Global South. It is therefore extremely important to identify and address those digital transformation gaps and to succeed in the public sector, as a catalyst of change for societies and economies in digital age. While there is a growing literature on the types of digital comm petencies that public sector officials need, there is an unmet need to develop compree hensive digital competency frameworks that can: clearly identify the internal challenges a government faces in its digital transformation journey; propose specific competencies that can address those challenges, and: take into account some specificities of the Global South. The AI and Digital Transformation Competency Framework unpacks the major AI and digital transformation competencies needed in the public sector. The framework aims to provide guidance not just for civil servants, but for interrnational organisations and regional and national actors to support capacity development. Each Competency Domain is structured around three Proficiency Levels: Basic, Medium and Advanced, and includes an ' AIIspecific level' that aims to identify and unpack the major AI elements.","{ARTIFICIAL INTELLIGENCE AND DIGITAL TRANSFORMATIONDigital transformations are continuously changing how people live, work and function in their societies. These applications of technology can be noticed in education, transs portation, data storage, communications and healthcare, among other fields. The devell opment and use of digital technologies is also impacting how governments operate and function. Digital transformation, including artificial intelligence (AI) adoption, has become one of the highest priorities for public organisations. For instance, governments are increasingly trying to digitize their services through technology because of growing public expectations. But today, some governments are asked to do more: to create an enabling environment in which green, inclusive, equitable digital transformation strengthens democratic societies and economies. Several studies have indeed revealed critical digital competencies gaps in the public sector, including in the Global South. It is therefore extremely important to identify and address those digital transformation gaps and to succeed in the public sector, as a catalyst of change for societies and economies in digital age. While there is a growing literature on the types of digital comm petencies that public sector officials need, there is an unmet need to develop compree hensive digital competency frameworks that can: clearly identify the internal challenges a government faces in its digital transformation journey; propose specific competencies that can address those challenges, and: take into account some specificities of the Global South. The AI and Digital Transformation Competency Framework unpacks the major AI and digital transformation competencies needed in the public sector. The framework aims to provide guidance not just for civil servants, but for interrnational organisations and regional and national actors to support capacity development. Each Competency Domain is structured around three Proficiency Levels: Basic, Medium and Advanced, and includes an ' AIIspecific level' that aims to identify and unpack the major AI elements.",1
"Shava, Elvin and Vyas-Doorgapersad, Shikha",2023,{Inclusive participation in information and communication technologies (ICTs) processes for smart services in the city of Johannesburg,"Governments everywhere must focus on rethinking service delivery as inclusive involvement in Information and Communication Technologies (ICTs) procedures for smart services has become unavoidable. Metropolitan municipalities in South Africa have joined the technology revolution that embraces smart services delivery through various ICTs and advances the idea of e-governance using the Stakeholder Inclusive Approach. To comprehend how the City of Johannesburg (CoJ) encourages inclusion in smart services, the researchers use an explorative qualitative design that works well with the inclusive stakeholder approach, which supports a collaborative process in ICT adoption. The study discovered through qualitative thematic analysis that inclusiveness is a comprehensive process that considers the demands of different stakeholders in the adoption and implementation of ICT. One issue that leads to ICT efficiencies in the CoJ is data fragmentation from numerous municipal agencies. Inclusionary participation has been widespread in virtual Integrated Development Planning (IDP) forums and other cutting-edge services provided by the CoJ. There have been some exceptional examples of free wifi supply. The study's conclusion reiterates the importance of comprehensive inclusion in ICT adoption and implementation as it links communities with the municipality and stresses the need for city officials to commit to upskilling programmes to improve the delivery of public goods and services delivery. Reference to this paper should be made as follows: Shava, E., Vyas-Doorgapersad, S. 2023. Inclusive participation in information and communication technologies (ICTs) processes for smart services in the city of Johannesburg. Insights into Regional Development, 5(1), 26-40. http://doi.org/10.9770/IRD.2023.5.1(2) JEL Classifications: H75, H83, R11 Additional disciplines: public administration/management","{Inclusive participation in information and communication technologies (ICTs) processes for smart services in the city of JohannesburgGovernments everywhere must focus on rethinking service delivery as inclusive involvement in Information and Communication Technologies (ICTs) procedures for smart services has become unavoidable. Metropolitan municipalities in South Africa have joined the technology revolution that embraces smart services delivery through various ICTs and advances the idea of e-governance using the Stakeholder Inclusive Approach. To comprehend how the City of Johannesburg (CoJ) encourages inclusion in smart services, the researchers use an explorative qualitative design that works well with the inclusive stakeholder approach, which supports a collaborative process in ICT adoption. The study discovered through qualitative thematic analysis that inclusiveness is a comprehensive process that considers the demands of different stakeholders in the adoption and implementation of ICT. One issue that leads to ICT efficiencies in the CoJ is data fragmentation from numerous municipal agencies. Inclusionary participation has been widespread in virtual Integrated Development Planning (IDP) forums and other cutting-edge services provided by the CoJ. There have been some exceptional examples of free wifi supply. The study's conclusion reiterates the importance of comprehensive inclusion in ICT adoption and implementation as it links communities with the municipality and stresses the need for city officials to commit to upskilling programmes to improve the delivery of public goods and services delivery. Reference to this paper should be made as follows: Shava, E., Vyas-Doorgapersad, S. . Inclusive participation in information and communication technologies (ICTs) processes for smart services in the city of Johannesburg. Insights into Regional Development, (), -. http://doi.org/./IRD...() JEL Classifications: H, H, R Additional disciplines: public administration/management",1
"Batty, M. and Axhausen, K. W. and Giannotti, F. and Pozdnoukhov, A. and Bazzani, A. and Wachowicz, M. and Ouzounis, G. and Portugali, Y.",2012,{Smart cities of the future,"Here we sketch the rudiments of what constitutes a smart city which we define as a city in which ICT is merged with traditional infrastructures, coordinated and integrated using new digital technologies. We first sketch our vision defining seven goals which concern: developing a new understanding of urban problems; effective and feasible ways to coordinate urban technologies; models and methods for using urban data across spatial and temporal scales; developing new technologies for communication and dissemination; developing new forms of urban governance and organisation; defining critical problems relating to cities, transport, and energy; and identifying risk, uncertainty, and hazards in the smart city. To this, we add six research challenges: to relate the infrastructure of smart cities to their operational functioning and planning through management, control and optimisation; to explore the notion of the city as a laboratory for innovation; to provide portfolios of urban simulation which inform future designs; to develop technologies that ensure equity, fairness and realise a better quality of city life; to develop technologies that ensure informed participation and create shared knowledge for democratic city governance; and to ensure greater and more effective mobility and access to opportunities for urban populations.We begin by defining the state of the art, explaining the science of smart cities. We define six scenarios based on new cities badging themselves as smart, older cities regenerating themselves as smart, the development of science parks, tech cities, and technopoles focused on high technologies, the development of urban services using contemporary ICT, the use of ICT to develop new urban intelligence functions, and the development of online and mobile forms of participation. Seven project areas are then proposed: Integrated Databases for the Smart City, Sensing, Networking and the Impact of New Social Media, Modelling Network Performance, Mobility and Travel Behaviour, Modelling Urban Land Use, Transport and Economic Interactions, Modelling Urban Transactional Activities in Labour and Housing Markets, Decision Support as Urban Intelligence, Participatory Governance and Planning Structures for the Smart City. Finally we anticipate the paradigm shifts that will occur in this research and define a series of key demonstrators which we believe are important to progressing a science of smart cities.{\textcopyright","{Smart cities of the futureHere we sketch the rudiments of what constitutes a smart city which we define as a city in which ICT is merged with traditional infrastructures, coordinated and integrated using new digital technologies. We first sketch our vision defining seven goals which concern: developing a new understanding of urban problems; effective and feasible ways to coordinate urban technologies; models and methods for using urban data across spatial and temporal scales; developing new technologies for communication and dissemination; developing new forms of urban governance and organisation; defining critical problems relating to cities, transport, and energy; and identifying risk, uncertainty, and hazards in the smart city. To this, we add six research challenges: to relate the infrastructure of smart cities to their operational functioning and planning through management, control and optimisation; to explore the notion of the city as a laboratory for innovation; to provide portfolios of urban simulation which inform future designs; to develop technologies that ensure equity, fairness and realise a better quality of city life; to develop technologies that ensure informed participation and create shared knowledge for democratic city governance; and to ensure greater and more effective mobility and access to opportunities for urban populations.We begin by defining the state of the art, explaining the science of smart cities. We define six scenarios based on new cities badging themselves as smart, older cities regenerating themselves as smart, the development of science parks, tech cities, and technopoles focused on high technologies, the development of urban services using contemporary ICT, the use of ICT to develop new urban intelligence functions, and the development of online and mobile forms of participation. Seven project areas are then proposed: Integrated Databases for the Smart City, Sensing, Networking and the Impact of New Social Media, Modelling Network Performance, Mobility and Travel Behaviour, Modelling Urban Land Use, Transport and Economic Interactions, Modelling Urban Transactional Activities in Labour and Housing Markets, Decision Support as Urban Intelligence, Participatory Governance and Planning Structures for the Smart City. Finally we anticipate the paradigm shifts that will occur in this research and define a series of key demonstrators which we believe are important to progressing a science of smart cities.{\textcopyright",1
{Vinod Kumar,2017,{Smart Economy in Smart Cities,"Emerging patterns of urbanization world over show differing scenarios in different continents, requiring diverse approaches, policies, and strategies. Amazing democratization of ICT around the world leads to a discussion on sustainable, resource-conserving, and resilient smart cities, and smart city economic development appropriate to different cities, countries, and continents. It can be possible that each city in a particular country and continent may possess differing challenges to smart city economic development. When ancient rural economy gives way to urban economy, which contributes a major share of national domestic product, the emerging question is what constitutes smart city economic development. How is it different from conventional urban economy? Is the theory and practice of conventional urban economy valid in a smart city economy or is it necessary to investigate newer theory and practice of smart city economic development? What is a food shed in a smart city economy in smart cities? What a smart city industry looks like? What constitutes smart city commerce services, transportation, and communication, and how they impact on smart city economy? How do smart cities fit in the urban dynamism and policy dialogue at the global, regional, and national levels? Can smart cities and smart economy be socially inclusive? How to strategize social inclusion in smart city development? What sort of governance and institutional support would smart cities require to fulfil their role with regard to smart economy? What may constitute a Sustainable Model of smart cities economic development, and what may be Smart Cities Standards? These are some of the questions addressed in this chapter.","{Smart Economy in Smart CitiesEmerging patterns of urbanization world over show differing scenarios in different continents, requiring diverse approaches, policies, and strategies. Amazing democratization of ICT around the world leads to a discussion on sustainable, resource-conserving, and resilient smart cities, and smart city economic development appropriate to different cities, countries, and continents. It can be possible that each city in a particular country and continent may possess differing challenges to smart city economic development. When ancient rural economy gives way to urban economy, which contributes a major share of national domestic product, the emerging question is what constitutes smart city economic development. How is it different from conventional urban economy? Is the theory and practice of conventional urban economy valid in a smart city economy or is it necessary to investigate newer theory and practice of smart city economic development? What is a food shed in a smart city economy in smart cities? What a smart city industry looks like? What constitutes smart city commerce services, transportation, and communication, and how they impact on smart city economy? How do smart cities fit in the urban dynamism and policy dialogue at the global, regional, and national levels? Can smart cities and smart economy be socially inclusive? How to strategize social inclusion in smart city development? What sort of governance and institutional support would smart cities require to fulfil their role with regard to smart economy? What may constitute a Sustainable Model of smart cities economic development, and what may be Smart Cities Standards? These are some of the questions addressed in this chapter.",1
"Neirotti, Paolo and {De Marco",2014,{Current trends in smart city initiatives: Some stylised facts,"The concept of Smart City (SC) as a means to enhance the life quality of citizen has been gaining increasing importance in the agendas of policy makers. However, a shared definition of SC is not available and it is hard to identify common global trends. This paper provides with a comprehensive understanding of the notion of SC through the elaboration of a taxonomy of pertinent application domains, namely: natural resources and energy, transport and mobility, buildings, living, government, and economy and people. It also explores the diffusion of smart initiatives via an empirical study aimed at investigating the ratio of domains covered by a city's best practices to the total of potential domains of smart initiatives and at understanding the role that various economic, urban, demographic, and geographical variables might have in influencing the planning approach to create a smarter city. Results reveal that the evolution patterns of a SC highly depend on its local context factors. In particular, economic development and structural urban variables are likely to influence a city's digital path, the geographical location to affect the SC strategy, and density of population, with its associated congestion problems, might an important component to determine the routes for the SC implementation. This work provides policy makers and city managers with useful guidelines to define and drive their SC strategy and planning actions towards the most appropriate domains of implementation. {\textcopyright","{Current trends in smart city initiatives: Some stylised factsThe concept of Smart City (SC) as a means to enhance the life quality of citizen has been gaining increasing importance in the agendas of policy makers. However, a shared definition of SC is not available and it is hard to identify common global trends. This paper provides with a comprehensive understanding of the notion of SC through the elaboration of a taxonomy of pertinent application domains, namely: natural resources and energy, transport and mobility, buildings, living, government, and economy and people. It also explores the diffusion of smart initiatives via an empirical study aimed at investigating the ratio of domains covered by a city's best practices to the total of potential domains of smart initiatives and at understanding the role that various economic, urban, demographic, and geographical variables might have in influencing the planning approach to create a smarter city. Results reveal that the evolution patterns of a SC highly depend on its local context factors. In particular, economic development and structural urban variables are likely to influence a city's digital path, the geographical location to affect the SC strategy, and density of population, with its associated congestion problems, might an important component to determine the routes for the SC implementation. This work provides policy makers and city managers with useful guidelines to define and drive their SC strategy and planning actions towards the most appropriate domains of implementation. {\textcopyright",1
Le{\'{o,2020,{Technology as Ideology in Urban Governance,"This article argues that the turn toward smart cities, emphasizing solutions, services, and infrastructures driven by digital technologies, has reinforced a dominant ideology shaping urban decision making, frameworks, and outcomes. Two core dimensions of this ideology of technology in urban governance interact to consequentially reshape urban processes: (1) the priority of attracting high-technology industries as engines for urban economies and (2) the tendency to reframe urban problems into technological problems, to be addressed by technological solutions. Together, these mechanisms operate in conjunction to privilege technological needs, capacities, and priorities in urban governance, contributing to the widespread exclusion of people and problems beyond the scope of technology. Although not unprecedented, this ideology of technology has acquired renewed potency with neoliberalized urbanism, urban restructuring, and the ongoing information revolution. Furthermore, these changes intensify the ongoing transformation of cities (and space more generally) into digitized spaces tailored for capital accumulation in the context of digital and surveillance capitalism. To illustrate these dynamics, we briefly describe recent events in San Francisco, one of the key sites in the current techno-economic paradigm. Key Words: digital economy, ideology, smart cities, technology, urban governance.","{Technology as Ideology in Urban GovernanceThis article argues that the turn toward smart cities, emphasizing solutions, services, and infrastructures driven by digital technologies, has reinforced a dominant ideology shaping urban decision making, frameworks, and outcomes. Two core dimensions of this ideology of technology in urban governance interact to consequentially reshape urban processes: () the priority of attracting high-technology industries as engines for urban economies and () the tendency to reframe urban problems into technological problems, to be addressed by technological solutions. Together, these mechanisms operate in conjunction to privilege technological needs, capacities, and priorities in urban governance, contributing to the widespread exclusion of people and problems beyond the scope of technology. Although not unprecedented, this ideology of technology has acquired renewed potency with neoliberalized urbanism, urban restructuring, and the ongoing information revolution. Furthermore, these changes intensify the ongoing transformation of cities (and space more generally) into digitized spaces tailored for capital accumulation in the context of digital and surveillance capitalism. To illustrate these dynamics, we briefly describe recent events in San Francisco, one of the key sites in the current techno-economic paradigm. Key Words: digital economy, ideology, smart cities, technology, urban governance.",1
"Kitchin, Rob",2015,{Making sense of smart cities: Addressing present shortcomings,"This commentary characterises and critiques research on smart cities. I argue that much of the writing and rhetoric about smart cities seeks to appear non-ideological, commonsensical and pragmatic. More critically orientated scholarship, while making vital conceptual and political interventions, presently has four shortcomings that inhibit making sense of and refashioning the smart city agenda: the lack of detailed genealogies of the concept and initiatives, the use of canonical examples and one-size fits all narratives, an absence of in-depth empirical case studies of specific smart city initiatives and comparative research that contrasts smart city developments in different locales and weak collaborative engagement with various stakeholders. These shortcomings are elaborated, accompanied with suggestions for addressing them.","{Making sense of smart cities: Addressing present shortcomingsThis commentary characterises and critiques research on smart cities. I argue that much of the writing and rhetoric about smart cities seeks to appear non-ideological, commonsensical and pragmatic. More critically orientated scholarship, while making vital conceptual and political interventions, presently has four shortcomings that inhibit making sense of and refashioning the smart city agenda: the lack of detailed genealogies of the concept and initiatives, the use of canonical examples and one-size fits all narratives, an absence of in-depth empirical case studies of specific smart city initiatives and comparative research that contrasts smart city developments in different locales and weak collaborative engagement with various stakeholders. These shortcomings are elaborated, accompanied with suggestions for addressing them.",1
"Alawadhi, Suha and Aldama-Nalda, Armando and Chourabi, Hafedh and Gil-Garcia, J. Ramon and Leung, Sofia and Mellouli, Sehl and Nam, Taewoo and Pardo, Theresa A. and Scholl, Hans J. and Walker, Shawn",2012,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),"This study presents the first results of an analysis primarily based on semi-structured interviews with government officials and managers who are responsible for smart city initiatives in four North American cities-Philadelphia and Seattle in the United States, Quebec City in Canada, and Mexico City in Mexico. With the reference to the Smart City Initiatives Framework that we suggested in our previous research, this study aims to build a new understanding of smart city initiatives. Main findings are categorized into eight aspects including technology, management and organization, policy context, governance, people and communities, economy, built infrastructure, and natural environment. {\textcopyright","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)This study presents the first results of an analysis primarily based on semi-structured interviews with government officials and managers who are responsible for smart city initiatives in four North American cities-Philadelphia and Seattle in the United States, Quebec City in Canada, and Mexico City in Mexico. With the reference to the Smart City Initiatives Framework that we suggested in our previous research, this study aims to build a new understanding of smart city initiatives. Main findings are categorized into eight aspects including technology, management and organization, policy context, governance, people and communities, economy, built infrastructure, and natural environment. {\textcopyright",1
"Nam, Taewoo and Pardo, Theresa A.",2011,ACM International Conference Proceeding Series,"This conceptual paper discusses how we can consider a particular city as a smart one, drawing on recent practices to make cities smart. A set of the common multidimensional components underlying the smart city concept and the core factors for a successful smart city initiative is identified by exploring current working definitions of smart city and a diversity of various conceptual relatives similar to smart city. The paper offers strategic principles aligning to the three main dimensions (technology, people, and institutions) of smart city: integration of infrastructures and technology-mediated services, social learning for strengthening human infrastructure, and governance for institutional improvement and citizen engagement. {\textcopyright","ACM International Conference Proceeding SeriesThis conceptual paper discusses how we can consider a particular city as a smart one, drawing on recent practices to make cities smart. A set of the common multidimensional components underlying the smart city concept and the core factors for a successful smart city initiative is identified by exploring current working definitions of smart city and a diversity of various conceptual relatives similar to smart city. The paper offers strategic principles aligning to the three main dimensions (technology, people, and institutions) of smart city: integration of infrastructures and technology-mediated services, social learning for strengthening human infrastructure, and governance for institutional improvement and citizen engagement. {\textcopyright",1
"Balbo, Tommaso and Vinadio, Di and {Van Noordt",2022,{ARTIFICIAL INTELLIGENCE AND DIGITAL TRANSFORMATION,"Digital transformations are continuously changing how people live, work and function in their societies. These applications of technology can be noticed in education, transs portation, data storage, communications and healthcare, among other fields. The devell opment and use of digital technologies is also impacting how governments operate and function. Digital transformation, including artificial intelligence (AI) adoption, has become one of the highest priorities for public organisations. For instance, governments are increasingly trying to digitize their services through technology because of growing public expectations. But today, some governments are asked to do more: to create an enabling environment in which green, inclusive, equitable digital transformation strengthens democratic societies and economies. Several studies have indeed revealed critical digital competencies gaps in the public sector, including in the Global South. It is therefore extremely important to identify and address those digital transformation gaps and to succeed in the public sector, as a catalyst of change for societies and economies in digital age. While there is a growing literature on the types of digital comm petencies that public sector officials need, there is an unmet need to develop compree hensive digital competency frameworks that can: clearly identify the internal challenges a government faces in its digital transformation journey; propose specific competencies that can address those challenges, and: take into account some specificities of the Global South. The AI and Digital Transformation Competency Framework unpacks the major AI and digital transformation competencies needed in the public sector. The framework aims to provide guidance not just for civil servants, but for interrnational organisations and regional and national actors to support capacity development. Each Competency Domain is structured around three Proficiency Levels: Basic, Medium and Advanced, and includes an ' AIIspecific level' that aims to identify and unpack the major AI elements.","{ARTIFICIAL INTELLIGENCE AND DIGITAL TRANSFORMATIONDigital transformations are continuously changing how people live, work and function in their societies. These applications of technology can be noticed in education, transs portation, data storage, communications and healthcare, among other fields. The devell opment and use of digital technologies is also impacting how governments operate and function. Digital transformation, including artificial intelligence (AI) adoption, has become one of the highest priorities for public organisations. For instance, governments are increasingly trying to digitize their services through technology because of growing public expectations. But today, some governments are asked to do more: to create an enabling environment in which green, inclusive, equitable digital transformation strengthens democratic societies and economies. Several studies have indeed revealed critical digital competencies gaps in the public sector, including in the Global South. It is therefore extremely important to identify and address those digital transformation gaps and to succeed in the public sector, as a catalyst of change for societies and economies in digital age. While there is a growing literature on the types of digital comm petencies that public sector officials need, there is an unmet need to develop compree hensive digital competency frameworks that can: clearly identify the internal challenges a government faces in its digital transformation journey; propose specific competencies that can address those challenges, and: take into account some specificities of the Global South. The AI and Digital Transformation Competency Framework unpacks the major AI and digital transformation competencies needed in the public sector. The framework aims to provide guidance not just for civil servants, but for interrnational organisations and regional and national actors to support capacity development. Each Competency Domain is structured around three Proficiency Levels: Basic, Medium and Advanced, and includes an ' AIIspecific level' that aims to identify and unpack the major AI elements.",1
